t,value
1598171893,0
1598171896,0
1598171899,0
1598171902,0
1598171905,0
1598171908,0
1598171911,0
1598171914,0
1598171917,0
1598171920,0
1598171923,0
1598171926,0
1598171929,0
1598171932,0
1598171935,0
1598171938,0
1598171941,0
1598171944,0
1598171947,0
1598171950,0
1598171953,0
1598171956,0
1598171959,0
1598171962,0
1598171965,0
1598171968,0
1598171971,0
1598171974,0
1598171977,0
1598171980,0
1598171983,0
1598171986,0
1598171989,0
1598171992,0
1598171995,0
1598171998,0
1598172001,0
1598172004,0
1598172007,0
1598172010,0
1598172013,0
1598172016,0
1598172019,0
1598172022,0
1598172025,0
1598172028,0
1598172031,0
1598172034,0
1598172037,0
1598172040,0
1598172043,0
1598172046,0
1598172049,0
1598172052,0
1598172055,0
1598172058,0
1598172061,0
1598172064,0
1598172067,0
1598172070,0
1598172073,0
1598172076,0
1598172079,0
1598172082,0
1598172085,0
1598172088,0
1598172091,0
1598172094,0
1598172097,0
1598172100,0
1598172103,0
1598172106,0
1598172109,0
1598172112,0
1598172115,0
1598172118,0
1598172121,0
1598172124,0
1598172127,0
1598172130,0
1598172133,0
1598172136,0
1598172139,0
1598172142,0
1598172145,0
1598172148,0
1598172151,0
1598172154,0
1598172157,0
1598172160,0
1598172163,0
1598172166,0
1598172169,0
1598172172,0
1598172175,0
1598172178,0
1598172181,0
1598172184,0
1598172187,0
1598172190,0
1598172193,0
1598172196,0
1598172199,0
1598172202,0
1598172205,0
1598172208,0
1598172211,0
1598172214,0
1598172217,1
1598172220,1
1598172223,1
1598172226,1
1598172229,1
1598172232,1
1598172235,1
1598172238,1
1598172241,1
1598172244,1
1598172247,1
1598172250,1
1598172253,1
1598172256,1
1598172259,1
1598172262,1
1598172265,1
1598172268,1
1598172271,1
1598172274,1
1598172277,1
1598172280,1
1598172283,1
1598172286,1
1598172289,1
1598172292,1
1598172295,1
1598172298,1
1598172301,1
1598172304,1
1598172307,1
1598172310,1
1598172313,1
1598172316,1
1598172319,1
1598172322,1
1598172325,1
1598172328,1
1598172331,1
1598172334,1
1598172337,1
1598172340,1
1598172343,1
1598172346,1
1598172349,1
1598172352,1
1598172355,1
1598172358,1
1598172361,1
1598172364,1
1598172367,1
1598172370,1
1598172373,1
1598172376,1
1598172379,1
1598172382,1
1598172385,1
1598172388,1
1598172391,1
1598172394,1
1598172397,1
1598172400,1
1598172403,1
1598172406,1
1598172409,1
1598172412,1
1598172415,1
1598172418,1
1598172421,1
1598172424,1
1598172427,1
1598172430,1
1598172433,1
1598172436,1
1598172439,1
1598172442,1
1598172445,1
1598172448,1
1598172451,1
1598172454,1
1598172457,1
1598172460,1
1598172463,1
1598172466,1
1598172469,1
1598172472,1
1598172475,1
1598172478,1
1598172481,1
1598172484,1
1598172487,1
t,value
1598172513,1
1598172516,1
1598172519,1
1598172522,1
1598172525,1
1598172528,1
1598172531,1
1598172534,1
1598172537,1
1598172540,1
1598172543,1
1598172546,1
1598172549,1
