t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1599836715,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836718,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836721,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836724,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836727,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836730,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836733,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836736,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836739,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836742,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836745,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836748,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836751,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836754,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836757,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836760,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836763,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836766,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836769,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836772,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836775,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836778,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836781,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836784,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836787,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836790,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836793,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836796,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836799,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836802,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836805,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836808,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836811,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836814,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836817,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836820,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836823,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836826,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836829,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836832,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836835,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836838,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836841,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836844,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836847,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836850,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836853,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836856,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836859,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836862,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836865,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836868,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836871,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836874,29,0.000079,0.000000,0.000000,0.000000,events/second
1599836877,29,0.000079,0.000000,0.000000,0.000000,events/second
